date,open,close,high,low,volume
2019-07-30,18.16,21.79,21.79,18.16,412.83
2019-07-31,23.97,23.97,23.97,23.97,136.56
2019-08-01,26.37,26.37,26.37,26.37,258.13
2019-08-02,29.01,29.01,29.01,29.01,891.08
2019-08-05,31.91,31.91,31.91,31.91,1483.62
2019-08-06,35.1,35.1,35.1,35.1,3473.53
2019-08-07,38.61,38.61,38.61,38.61,1760.6
2019-08-08,42.47,42.47,42.47,42.47,25659.75
2019-08-09,45.05,41.9,46.72,41.72,259030.41
2019-08-12,40.0,38.08,40.65,37.71,165972.25
2019-08-13,37.93,37.99,38.38,36.8,110148.83
2019-08-14,38.4,37.2,38.49,37.1,93584.98
2019-08-15,35.2,36.3,36.48,34.68,77785.7
2019-08-16,35.98,37.46,38.0,35.72,108489.52
2019-08-19,37.57,39.49,40.35,37.07,105499.86
2019-08-20,39.6,38.16,41.1,37.91,112587.13
2019-08-21,37.7,36.47,37.7,35.88,81915.66
2019-08-22,36.59,36.16,37.06,36.11,46885.92
2019-08-23,36.21,36.37,36.76,35.41,45306.04
2019-08-26,35.99,37.53,37.53,35.5,48631.86
2019-08-27,37.53,41.28,41.28,37.45,114162.1
2019-08-28,43.02,45.41,45.41,43.01,101277.98
2019-08-29,48.51,42.96,49.5,42.05,182293.1
2019-08-30,43.33,43.6,45.2,42.65,114079.46
2019-09-02,43.6,47.96,47.96,43.6,88996.54
2019-09-03,49.8,52.76,52.76,48.52,79278.9
2019-09-04,56.0,58.04,58.04,54.58,44992.41
2019-09-05,61.0,58.09,63.84,54.0,131210.0
2019-09-06,59.4,56.35,62.5,56.0,97635.27
2019-09-09,57.53,59.86,61.8,56.47,87826.61
2019-09-10,58.97,63.82,65.8,58.22,90769.63
2019-09-11,63.5,64.12,68.77,62.6,83633.57
2019-09-12,65.0,62.61,65.49,59.0,79774.7
2019-09-16,62.01,63.14,63.5,60.56,49889.65
2019-09-17,62.6,60.0,63.98,60.0,47947.5
2019-09-18,59.55,57.77,60.83,57.35,49840.44
2019-09-19,57.76,62.4,63.49,57.6,68735.96
2019-09-20,61.81,63.61,67.28,60.9,79148.48
2019-09-23,63.33,61.75,65.26,60.71,49502.9
2019-09-24,61.93,67.93,67.93,61.42,72788.14
2019-09-25,68.0,66.85,70.3,65.01,74779.41
2019-09-26,66.23,60.95,69.18,60.17,81213.94
2019-09-27,59.6,60.01,62.25,58.0,56526.22
2019-09-30,59.88,61.33,63.5,59.88,48258.51
2019-10-08,61.98,63.98,64.42,61.31,48122.42
2019-10-09,63.2,60.12,63.2,58.0,55346.12
2019-10-10,61.2,66.13,66.13,61.2,63928.01
2019-10-11,66.0,68.28,70.5,64.1,75370.29
2019-10-14,69.1,69.79,71.35,67.02,56622.01
2019-10-15,68.5,67.98,69.5,66.3,46458.08
2019-10-16,69.01,70.15,74.58,69.01,61314.2
2019-10-17,68.05,69.07,71.82,67.8,45792.94
2019-10-18,69.5,71.1,71.5,68.51,43957.09
2019-10-21,70.58,69.62,71.0,66.0,42294.69
2019-10-22,69.18,74.65,75.2,69.01,52124.09
2019-10-23,73.0,74.1,74.98,72.66,37281.92
2019-10-24,73.8,72.18,77.7,72.18,54590.14
2019-10-25,72.1,75.99,76.66,72.1,53318.57
2019-10-28,74.01,77.28,78.87,73.81,45900.92
2019-10-29,77.01,77.34,78.99,75.58,34374.22
2019-10-30,76.8,79.2,79.73,75.5,38320.53
2019-10-31,78.77,78.36,79.5,76.22,33894.83
2019-11-01,77.55,76.11,77.61,74.7,35674.08
2019-11-04,75.59,76.4,77.58,74.55,28254.71
2019-11-05,76.4,74.5,77.48,72.7,39250.74
2019-11-06,73.8,69.95,75.17,69.58,45605.43
2019-11-07,69.11,71.27,71.97,67.38,33247.57
2019-11-08,71.83,67.98,72.21,67.53,37861.17
2019-11-11,68.3,68.12,69.3,66.11,23729.56
2019-11-12,69.0,65.98,69.0,64.4,27623.49
2019-11-13,66.0,65.5,66.88,64.62,20350.74
2019-11-14,66.0,67.93,69.38,65.51,31651.23
2019-11-15,68.39,66.6,68.78,66.6,21369.36
2019-11-18,66.18,67.33,67.36,64.71,19651.15
2019-11-19,67.23,66.82,68.09,66.16,24333.68
2019-11-20,66.8,64.75,66.8,64.71,26445.56
2019-11-21,64.0,63.84,64.35,62.51,21521.97
2019-11-22,64.7,61.21,65.29,60.68,26376.8
2019-11-25,60.95,58.8,61.35,58.07,23430.54
2019-11-26,58.95,59.04,60.3,58.95,13316.81
2019-11-27,59.52,58.33,59.72,58.0,14697.76
2019-11-28,58.33,58.95,59.5,58.19,13975.74
2019-11-29,58.87,59.8,60.01,57.61,20290.75
2019-12-02,59.78,59.1,60.7,58.9,16672.0
2019-12-03,58.19,58.98,59.16,57.77,12482.42
2019-12-04,58.98,62.03,63.5,58.75,30484.24
2019-12-05,62.3,64.56,65.4,61.6,30155.47
2019-12-06,64.68,63.93,65.9,63.73,20942.73
2019-12-09,64.25,64.16,65.36,63.4,15957.43
2019-12-10,64.0,65.47,65.99,63.68,18945.71
2019-12-11,65.44,64.7,65.93,63.8,13283.81
2019-12-12,65.0,63.15,65.0,62.76,15401.15
2019-12-13,63.57,63.96,64.82,63.57,11474.13
2019-12-16,64.82,65.91,66.15,63.5,19250.56
2019-12-17,67.86,71.79,72.5,66.6,36016.17
2019-12-18,70.9,70.14,71.73,69.79,21756.05
2019-12-19,70.9,73.05,73.9,69.0,23534.92
2019-12-20,72.58,70.35,74.51,70.35,21663.77
2019-12-23,71.29,69.38,71.78,68.38,18337.59
