date,open,close,high,low,volume
2021-05-11,45.0,51.29,57.77,42.0,242362.41
2021-05-12,47.0,70.0,73.99,45.0,241964.98
2021-05-13,67.0,57.1,72.0,56.58,205805.63
2021-05-14,58.0,53.8,61.74,53.3,170794.81
2021-05-17,53.0,55.82,57.5,51.6,146674.07
2021-05-18,56.0,55.02,59.11,52.0,152984.41
2021-05-19,52.87,50.1,54.8,49.81,138573.23
2021-05-20,48.71,49.48,51.46,48.47,95088.26
2021-05-21,48.9,51.22,54.3,48.9,116949.71
2021-05-24,52.0,54.59,55.8,49.2,137112.53
2021-05-25,53.7,59.24,61.28,53.5,159628.43
2021-05-26,58.12,56.45,58.9,55.71,122886.13
2021-05-27,56.0,56.9,59.18,56.0,101436.73
2021-05-28,55.4,51.92,56.3,51.59,115785.28
2021-05-31,51.9,52.77,52.86,51.24,62785.55
2021-06-01,52.9,56.01,56.65,51.99,120565.55
2021-06-02,54.03,51.44,55.1,51.35,101975.04
2021-06-03,50.1,50.4,51.39,49.45,53897.38
2021-06-04,50.88,49.58,51.78,49.3,43947.58
2021-06-07,48.68,48.65,48.97,46.57,57630.89
2021-06-08,48.8,47.18,49.13,47.15,36686.86
2021-06-09,46.18,45.4,47.5,45.38,45116.36
2021-06-10,45.36,44.1,46.37,43.51,51216.92
2021-06-11,43.51,48.13,48.45,43.08,71112.44
2021-06-15,47.5,45.7,48.49,45.18,47849.36
2021-06-16,44.58,44.52,47.47,44.1,42598.43
2021-06-17,43.96,44.34,45.18,43.68,28564.48
2021-06-18,44.25,45.56,46.25,44.21,35838.81
2021-06-21,45.29,45.6,46.45,44.72,35147.3
2021-06-22,45.88,47.3,47.66,45.2,52058.55
2021-06-23,47.8,48.25,48.77,46.01,63295.16
2021-06-24,47.88,44.05,48.25,43.8,53175.18
2021-06-25,43.02,40.37,43.89,40.04,60882.99
2021-06-28,40.55,39.32,40.82,39.12,41309.94
2021-06-29,39.18,38.58,39.74,38.23,33601.71
2021-06-30,38.42,38.96,39.8,37.32,46525.85
2021-07-01,38.69,36.1,38.69,36.1,52290.5
2021-07-02,35.98,35.25,36.53,34.9,31943.22
2021-07-05,35.38,35.3,35.59,34.81,21170.12
2021-07-06,35.38,35.85,36.19,35.0,32626.23
2021-07-07,35.51,35.86,36.52,35.3,29301.55
2021-07-08,36.01,34.7,36.28,34.61,29312.35
2021-07-09,34.51,34.78,35.04,34.21,20362.09
2021-07-12,34.9,34.88,35.33,34.71,18864.98
2021-07-13,35.02,35.12,35.75,34.92,24386.09
2021-07-14,35.37,34.04,35.39,34.02,25597.19
2021-07-15,34.02,31.91,34.04,31.5,38507.4
2021-07-16,32.0,31.4,32.37,31.1,24191.66
2021-07-19,31.87,30.74,31.87,30.6,23346.43
2021-07-20,30.41,30.67,30.84,30.04,23210.19
2021-07-21,30.7,30.45,31.18,30.33,23156.01
2021-07-22,30.64,29.88,30.75,29.72,25427.15
2021-07-23,29.98,28.71,29.98,28.63,30695.6
2021-07-26,28.71,28.18,29.23,27.7,24467.05
2021-07-27,28.29,27.14,28.45,27.02,23073.42
2021-07-28,27.25,26.67,27.3,25.92,21707.81
2021-07-29,27.0,27.3,27.66,26.9,22093.15
2021-07-30,27.02,27.41,27.88,26.91,18606.9
2021-08-02,27.56,27.92,28.29,26.98,20201.27
2021-08-03,27.84,30.2,33.0,27.64,75578.66
2021-08-04,28.9,28.78,29.15,28.31,51076.61
2021-08-05,28.7,27.72,28.7,27.72,30844.51
2021-08-06,27.46,27.24,28.18,27.15,22618.0
2021-08-09,27.21,27.6,27.74,27.16,21213.03
2021-08-10,27.45,28.37,28.51,27.45,30109.29
2021-08-11,28.7,28.43,28.84,28.2,21075.0
2021-08-12,28.7,29.06,29.5,28.38,34381.3
2021-08-13,29.05,27.88,29.05,27.85,29764.03
2021-08-16,28.08,28.97,29.35,27.81,30938.15
2021-08-17,29.0,28.43,29.9,28.4,31404.83
2021-08-18,28.44,29.05,29.2,28.17,26215.31
2021-08-19,29.02,28.5,29.47,28.4,21657.47
2021-08-20,28.45,27.2,28.45,27.07,25082.81
2021-08-23,27.19,28.72,29.38,27.19,30072.48
2021-08-24,28.79,29.45,29.79,28.5,40862.21
2021-08-25,29.22,29.21,29.81,29.0,26361.29
2021-08-26,29.43,28.26,29.45,28.03,22962.74
2021-08-27,27.75,27.45,28.3,27.31,18367.08
2021-08-30,27.52,27.63,29.0,27.18,29499.03
2021-08-31,27.03,26.15,27.11,25.9,30355.19
2021-09-01,26.27,26.53,26.77,25.81,16582.08
2021-09-02,26.57,26.11,26.6,26.1,13691.44
2021-09-03,26.12,26.78,27.18,26.06,21333.84
2021-09-06,26.7,27.12,27.19,26.5,16803.03
2021-09-07,27.45,26.92,27.45,26.75,15469.05
2021-09-08,26.91,27.65,27.81,26.91,27929.34
2021-09-09,27.31,26.72,27.48,26.61,26963.5
2021-09-10,26.7,26.63,26.96,26.6,13965.88
2021-09-13,26.61,27.19,27.21,26.25,18693.57
2021-09-14,27.18,26.49,27.18,26.36,17460.32
2021-09-15,26.5,31.79,31.79,26.5,104615.18
2021-09-16,31.0,31.2,31.56,29.7,128739.28
2021-09-17,30.39,30.77,30.95,29.45,72046.42
2021-09-22,30.1,29.99,32.18,29.99,66262.43
2021-09-23,30.95,29.53,31.5,29.26,50964.53
2021-09-24,29.15,32.23,33.68,28.73,109181.56
2021-09-27,31.4,33.15,35.0,30.75,107693.53
2021-09-28,32.5,31.9,34.3,31.55,70202.82
2021-09-29,31.51,30.92,32.38,30.89,33977.16
2021-09-30,31.02,31.21,31.7,30.06,37610.65
2021-10-08,31.08,30.89,31.58,30.89,29879.43
2021-10-11,34.0,31.65,35.8,31.6,56785.29
2021-10-12,31.56,29.69,32.13,29.67,40035.09
2021-10-13,29.71,31.77,31.99,29.7,50420.27
2021-10-14,30.9,31.05,31.55,30.61,29844.55
2021-10-15,31.11,30.45,32.46,30.29,37557.58
2021-10-18,29.23,27.54,29.33,27.1,44830.36
2021-10-19,27.31,27.68,27.75,26.92,22247.64
2021-10-20,27.6,26.97,27.67,26.68,25760.04
2021-10-21,27.0,26.69,27.36,26.59,15946.99
2021-10-22,26.86,26.96,27.5,26.66,19912.0
2021-10-25,26.7,26.4,26.9,26.02,17309.79
2021-10-26,26.4,26.59,26.85,26.14,16910.09
2021-10-27,26.68,26.87,27.6,26.67,21970.39
2021-10-28,26.8,23.95,26.8,23.01,31653.13
2021-10-29,23.54,23.41,23.98,23.01,18612.53
2021-11-01,23.6,23.52,23.8,23.05,15235.55
2021-11-02,23.64,22.42,24.01,22.0,25679.06
2021-11-03,22.45,22.91,23.12,22.45,19048.48
2021-11-04,23.13,23.11,24.05,23.01,20473.12
2021-11-05,23.98,23.79,24.36,23.15,30527.09
2021-11-08,23.67,23.9,24.41,23.52,21945.38
2021-11-09,23.85,24.15,24.32,23.64,16841.66
2021-11-10,24.15,25.07,25.96,23.88,37898.48
2021-11-11,25.58,28.08,29.22,25.15,75051.44
2021-11-12,27.17,26.66,27.28,25.86,55239.49
2021-11-15,26.8,28.18,29.21,26.26,63231.85
2021-11-16,28.11,33.82,33.82,28.05,79342.11
2021-11-17,33.85,32.6,36.48,32.5,176335.9
2021-11-18,32.54,37.0,39.12,31.36,206450.12
2021-11-19,35.17,35.45,37.98,34.61,149076.56
2021-11-22,35.25,35.1,36.49,33.76,113413.13
2021-11-23,34.38,34.4,34.9,33.07,93013.78
2021-11-24,34.17,41.28,41.28,34.05,213356.69
2021-11-25,39.1,36.6,39.6,36.36,180414.37
2021-11-26,37.33,34.75,37.4,34.0,98747.31
2021-11-29,34.11,35.0,35.36,34.03,69877.45
2021-11-30,35.89,33.97,36.1,33.33,68917.61
2021-12-01,34.75,35.77,36.58,33.55,93501.47
2021-12-02,35.08,33.25,35.6,33.2,66413.53
2021-12-03,33.68,33.06,34.0,32.74,37315.29
2021-12-06,33.1,34.23,34.88,32.51,80749.89
2021-12-07,33.95,36.85,39.18,33.0,146469.71
2021-12-08,36.5,38.06,39.78,34.8,140887.73
2021-12-09,37.5,38.27,39.8,37.01,123427.53
2021-12-10,37.45,39.69,42.88,37.37,157351.73
2021-12-13,41.0,40.61,43.3,39.6,135272.58
2021-12-14,39.0,37.66,40.44,37.58,124750.82
2021-12-15,36.7,39.39,41.1,36.61,122108.7
2021-12-16,38.0,39.5,40.88,37.77,104261.1
2021-12-17,39.06,36.99,39.3,36.91,82017.43
2021-12-20,37.26,35.28,37.7,35.28,61285.83
2021-12-21,35.78,37.29,38.9,35.6,76812.33
2021-12-22,37.29,40.48,41.5,36.72,128165.54
2021-12-23,40.12,42.44,42.44,39.31,126285.82
2021-12-24,43.77,40.5,46.89,40.5,145867.68
2021-12-27,40.99,38.4,41.07,37.5,92561.65
2021-12-28,38.32,37.8,39.17,37.38,66150.07
2021-12-29,37.38,37.34,38.0,36.1,52168.45
2021-12-30,37.1,40.08,40.8,37.01,91430.25
2021-12-31,40.88,38.8,40.88,38.68,74239.81
